epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453,2.45255,10.5574,1.77202,0.24827,0.20467,0.15452,0.06824,2.00445,7.58163,1.4634,0.000999382,0.000999382,0.0676867
2,894.94,1.95672,7.89143,1.43099,0.32037,0.27329,0.22975,0.10069,1.89409,6.68776,1.37901,0.00197959,0.00197959,0.0353335
3,1334.3,1.85358,7.25139,1.36804,0.36011,0.28935,0.24845,0.11672,1.80628,6.22934,1.31309,0.00293999,0.00293999,0.0029606
4,1778.06,1.80322,6.81528,1.33362,0.4115,0.32047,0.28136,0.13725,1.78869,5.91182,1.30962,0.0029109,0.0029109,0.0029109
5,2216.82,1.74853,6.51544,1.30512,0.42493,0.34574,0.30944,0.15209,1.73714,5.71517,1.26692,0.0028812,0.0028812,0.0028812
6,2651.68,1.71017,6.24707,1.28242,0.43556,0.36618,0.33574,0.17068,1.6737,5.58199,1.25583,0.0028515,0.0028515,0.0028515
7,3091.34,1.6862,6.04746,1.26508,0.45713,0.379,0.35387,0.17933,1.65774,5.45142,1.22387,0.0028218,0.0028218,0.0028218
8,3531.06,1.66552,5.94112,1.25263,0.46822,0.38755,0.35573,0.18193,1.62905,5.39883,1.21726,0.0027921,0.0027921,0.0027921
9,3966.67,1.64894,5.83664,1.24379,0.47643,0.38463,0.36584,0.18777,1.62274,5.28919,1.2133,0.0027624,0.0027624,0.0027624
10,4399.28,1.64466,5.74065,1.23757,0.47295,0.39554,0.3734,0.19122,1.63618,5.214,1.20387,0.0027327,0.0027327,0.0027327
11,4831.01,1.61818,5.60661,1.22242,0.50604,0.40351,0.38791,0.19479,1.68348,5.16691,1.22488,0.002703,0.002703,0.002703
12,5262.06,1.60995,5.55135,1.22159,0.50765,0.41133,0.39602,0.19809,1.67654,5.02704,1.2119,0.0026733,0.0026733,0.0026733
13,5693.25,1.59485,5.46411,1.21397,0.50346,0.42351,0.4002,0.204,1.63865,5.02701,1.20201,0.0026436,0.0026436,0.0026436
14,6123.05,1.58846,5.41274,1.20709,0.51331,0.43012,0.41532,0.21886,1.57579,4.84894,1.18252,0.0026139,0.0026139,0.0026139
15,6554.39,1.5883,5.35472,1.20143,0.51861,0.43674,0.42329,0.2252,1.56892,4.81053,1.17579,0.0025842,0.0025842,0.0025842
16,6987.77,1.575,5.28292,1.19565,0.52631,0.43994,0.42862,0.22826,1.55526,4.8104,1.16137,0.0025545,0.0025545,0.0025545
17,7420.3,1.56779,5.22711,1.19195,0.51189,0.44211,0.4203,0.22086,1.57694,4.84979,1.17362,0.0025248,0.0025248,0.0025248
18,7850.68,1.56239,5.18611,1.18822,0.53283,0.43881,0.42786,0.22779,1.55058,4.78954,1.17014,0.0024951,0.0024951,0.0024951
19,8281.75,1.55343,5.16483,1.18519,0.51891,0.44534,0.42919,0.2258,1.57465,4.76897,1.17215,0.0024654,0.0024654,0.0024654
