epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.155,2.48611,10.7648,1.77851,0.31555,0.19574,0.14184,0.06247,1.98913,7.91229,1.4572,0.000999382,0.000999382,0.0676867
2,911.198,1.98166,8.07158,1.43782,0.36484,0.25967,0.22206,0.09647,1.93996,6.78292,1.4019,0.00197959,0.00197959,0.0353335
3,1359.06,1.86231,7.31669,1.3633,0.36597,0.3098,0.25903,0.12457,1.77458,6.19434,1.31551,0.00293999,0.00293999,0.0029606
4,1808.6,1.81587,6.93456,1.33225,0.37157,0.32162,0.27742,0.13492,1.74167,5.97252,1.27841,0.0029109,0.0029109,0.0029109
5,2261.48,1.75991,6.57555,1.30041,0.41113,0.33961,0.3036,0.14596,1.75566,5.84512,1.2705,0.0028812,0.0028812,0.0028812
6,2711.55,1.72594,6.35699,1.27964,0.43975,0.35792,0.32634,0.16138,1.69638,5.64055,1.24447,0.0028515,0.0028515,0.0028515
7,3157.69,1.69799,6.12859,1.26157,0.42944,0.39021,0.34431,0.171,1.72706,5.51953,1.24841,0.0028218,0.0028218,0.0028218
8,3604.01,1.67583,6.0113,1.25171,0.43767,0.38829,0.3479,0.17762,1.64357,5.40772,1.21225,0.0027921,0.0027921,0.0027921
9,4054.73,1.65663,5.8541,1.23993,0.46491,0.37783,0.35611,0.18377,1.64485,5.36026,1.22063,0.0027624,0.0027624,0.0027624
10,4501.92,1.64506,5.76217,1.23118,0.46303,0.39529,0.3728,0.19095,1.63348,5.23229,1.2063,0.0027327,0.0027327,0.0027327
11,4949.12,1.61983,5.62479,1.21884,0.47392,0.39295,0.37091,0.1836,1.70057,5.26594,1.22359,0.002703,0.002703,0.002703
12,5396.02,1.61484,5.59647,1.21758,0.48733,0.41527,0.3869,0.19834,1.64184,5.12639,1.20294,0.0026733,0.0026733,0.0026733
13,5841.85,1.59473,5.4967,1.20645,0.50603,0.42001,0.39336,0.20154,1.62595,5.0435,1.19094,0.0026436,0.0026436,0.0026436
14,6287.79,1.59398,5.46042,1.20381,0.51208,0.42672,0.40954,0.214,1.5809,4.89711,1.17796,0.0026139,0.0026139,0.0026139
15,6735.95,1.59208,5.39341,1.19716,0.50613,0.42347,0.40697,0.21485,1.58047,4.93868,1.17212,0.0025842,0.0025842,0.0025842
16,7185.54,1.58232,5.34053,1.19397,0.51406,0.43198,0.41448,0.21861,1.5784,4.89303,1.16845,0.0025545,0.0025545,0.0025545
17,7630.24,1.5766,5.28879,1.19093,0.52555,0.43141,0.41855,0.22483,1.53615,4.82143,1.15781,0.0025248,0.0025248,0.0025248
18,8076.17,1.56328,5.22976,1.18491,0.52684,0.43629,0.42415,0.22454,1.56926,4.82069,1.16884,0.0024951,0.0024951,0.0024951
19,8520.81,1.55962,5.19458,1.18326,0.51649,0.4182,0.41489,0.22096,1.57038,4.84037,1.16391,0.0024654,0.0024654,0.0024654
20,8964.5,1.55443,5.1511,1.17981,0.53166,0.44507,0.43413,0.23014,1.56507,4.73228,1.16147,0.0024357,0.0024357,0.0024357
21,9407.83,1.5523,5.13643,1.175,0.53805,0.44442,0.44025,0.23524,1.54049,4.69289,1.15347,0.002406,0.002406,0.002406
22,9850.73,1.54695,5.07143,1.17407,0.54105,0.43876,0.43519,0.23279,1.5426,4.724,1.1536,0.0023763,0.0023763,0.0023763
23,10294.8,1.53711,5.01802,1.16579,0.53524,0.45636,0.44933,0.23974,1.54205,4.64668,1.14728,0.0023466,0.0023466,0.0023466
24,10737.5,1.53363,5.00995,1.16714,0.54415,0.45598,0.44587,0.23928,1.52377,4.64524,1.14195,0.0023169,0.0023169,0.0023169
25,11179.7,1.53082,4.98243,1.1663,0.53311,0.45667,0.44359,0.23642,1.56418,4.66837,1.1566,0.0022872,0.0022872,0.0022872
26,11623.8,1.53226,4.96978,1.16321,0.54831,0.45726,0.45509,0.24514,1.53198,4.63415,1.14556,0.0022575,0.0022575,0.0022575
27,12069.1,1.51407,4.89064,1.15784,0.53253,0.46448,0.44895,0.24165,1.53276,4.6243,1.14392,0.0022278,0.0022278,0.0022278
28,12515,1.51283,4.87157,1.1583,0.55934,0.45851,0.45376,0.24603,1.50394,4.53874,1.13185,0.0021981,0.0021981,0.0021981
29,12959.7,1.51637,4.88107,1.15701,0.55728,0.46409,0.46055,0.25182,1.49132,4.53082,1.12744,0.0021684,0.0021684,0.0021684
30,13407.3,1.5019,4.81166,1.14773,0.55103,0.46307,0.45366,0.24853,1.47998,4.5821,1.12769,0.0021387,0.0021387,0.0021387
31,13853.8,1.49594,4.78715,1.14784,0.55583,0.46605,0.4634,0.25647,1.461,4.48934,1.11731,0.002109,0.002109,0.002109
32,14300.3,1.4861,4.76189,1.14441,0.55358,0.47762,0.46874,0.26036,1.46084,4.43355,1.11931,0.0020793,0.0020793,0.0020793
33,14750.1,1.47772,4.6943,1.14047,0.55728,0.46816,0.46724,0.26007,1.44623,4.46608,1.11372,0.0020496,0.0020496,0.0020496
34,15197.1,1.48124,4.70817,1.14113,0.56995,0.47374,0.4746,0.26712,1.43102,4.39121,1.11046,0.0020199,0.0020199,0.0020199
35,15645.6,1.47314,4.65849,1.13598,0.55999,0.48301,0.47781,0.26658,1.4549,4.40708,1.11788,0.0019902,0.0019902,0.0019902
36,16093.3,1.4742,4.6583,1.13537,0.57144,0.47625,0.47608,0.26733,1.43379,4.38295,1.11028,0.0019605,0.0019605,0.0019605
37,16541.3,1.4757,4.65731,1.13839,0.55441,0.48056,0.47265,0.26626,1.43686,4.38794,1.10971,0.0019308,0.0019308,0.0019308
38,16992,1.46567,4.60702,1.13228,0.5617,0.48374,0.47845,0.2691,1.43493,4.38627,1.10944,0.0019011,0.0019011,0.0019011
39,17443.3,1.47244,4.62372,1.13424,0.56881,0.47748,0.47848,0.26913,1.42959,4.36601,1.10918,0.0018714,0.0018714,0.0018714
40,17893.6,1.46141,4.56648,1.12968,0.58044,0.47877,0.48466,0.27138,1.4372,4.32893,1.11008,0.0018417,0.0018417,0.0018417
41,18342.8,1.46026,4.52931,1.12744,0.57874,0.48242,0.48499,0.27252,1.4316,4.31669,1.10677,0.001812,0.001812,0.001812
42,18792.8,1.45619,4.54496,1.12931,0.58402,0.48306,0.4874,0.27722,1.41218,4.28501,1.09835,0.0017823,0.0017823,0.0017823
43,19245.4,1.46299,4.53862,1.13036,0.57972,0.48956,0.49118,0.27836,1.41964,4.26668,1.0998,0.0017526,0.0017526,0.0017526
44,19699.2,1.44833,4.50212,1.12474,0.58293,0.48576,0.4891,0.27529,1.42828,4.28884,1.10438,0.0017229,0.0017229,0.0017229
45,20148.8,1.44359,4.46177,1.1217,0.5849,0.4942,0.49446,0.28213,1.41706,4.27005,1.10079,0.0016932,0.0016932,0.0016932
46,20600.5,1.45034,4.46771,1.1251,0.57053,0.49567,0.49111,0.28016,1.40945,4.25671,1.0983,0.0016635,0.0016635,0.0016635
47,21048.8,1.44862,4.46516,1.12263,0.57967,0.48805,0.49503,0.28185,1.40468,4.24607,1.0957,0.0016338,0.0016338,0.0016338
48,21499.3,1.44455,4.44727,1.12131,0.58643,0.48781,0.49311,0.28044,1.40723,4.24183,1.09659,0.0016041,0.0016041,0.0016041
49,21949.2,1.4374,4.39359,1.11654,0.59451,0.48525,0.49565,0.28311,1.39582,4.22178,1.09322,0.0015744,0.0015744,0.0015744
50,22397.2,1.43351,4.36859,1.11584,0.58643,0.49506,0.49735,0.28399,1.40379,4.22184,1.09385,0.0015447,0.0015447,0.0015447
51,22847.3,1.43364,4.38246,1.1137,0.58232,0.50295,0.50027,0.289,1.38774,4.19326,1.09027,0.001515,0.001515,0.001515
52,23295.3,1.43723,4.37231,1.1181,0.58161,0.50057,0.49849,0.28488,1.39476,4.1929,1.09163,0.0014853,0.0014853,0.0014853
53,23745.3,1.43027,4.35637,1.11411,0.58672,0.50018,0.50209,0.28632,1.4013,4.18892,1.09111,0.0014556,0.0014556,0.0014556
54,24195,1.42633,4.31946,1.11224,0.58196,0.49966,0.49874,0.28717,1.3934,4.20025,1.09222,0.0014259,0.0014259,0.0014259
55,24646.4,1.42466,4.31032,1.11069,0.59116,0.49466,0.5011,0.2886,1.39253,4.18979,1.08791,0.0013962,0.0013962,0.0013962
56,25100.4,1.42524,4.30649,1.11105,0.57318,0.50099,0.49965,0.28709,1.3862,4.18495,1.08779,0.0013665,0.0013665,0.0013665
57,25553.9,1.42308,4.2917,1.1087,0.59758,0.48885,0.50168,0.28972,1.38668,4.16743,1.08792,0.0013368,0.0013368,0.0013368
58,26004.1,1.42093,4.27545,1.10933,0.59416,0.50146,0.50679,0.28971,1.38937,4.14744,1.08617,0.0013071,0.0013071,0.0013071
59,26453,1.41905,4.24726,1.10987,0.59069,0.50547,0.50711,0.29273,1.38225,4.1498,1.08624,0.0012774,0.0012774,0.0012774
60,26903.1,1.4151,4.23023,1.10672,0.59265,0.50145,0.50739,0.29262,1.3816,4.13748,1.08574,0.0012477,0.0012477,0.0012477
61,27352.9,1.40555,4.17537,1.10273,0.59663,0.50098,0.50782,0.29346,1.37354,4.12808,1.08295,0.001218,0.001218,0.001218
62,27801.5,1.41314,4.21588,1.10665,0.60441,0.49577,0.50572,0.29239,1.38012,4.12735,1.08367,0.0011883,0.0011883,0.0011883
63,28252,1.41012,4.19826,1.10361,0.59742,0.50161,0.50917,0.29378,1.38297,4.1204,1.08402,0.0011586,0.0011586,0.0011586
64,28703,1.4071,4.164,1.10081,0.59237,0.50613,0.50766,0.29347,1.38172,4.12693,1.08244,0.0011289,0.0011289,0.0011289
65,29152,1.40949,4.16092,1.10019,0.59507,0.50521,0.50878,0.29507,1.37845,4.1228,1.08169,0.0010992,0.0010992,0.0010992
66,29603.2,1.40976,4.1641,1.10117,0.59711,0.50695,0.51085,0.29509,1.37616,4.11682,1.08136,0.0010695,0.0010695,0.0010695
67,30055.7,1.40006,4.11887,1.09693,0.59873,0.50438,0.51049,0.29461,1.37466,4.10189,1.0804,0.0010398,0.0010398,0.0010398
68,30506.6,1.39471,4.1115,1.09727,0.59688,0.5083,0.50918,0.29431,1.37788,4.11502,1.08279,0.0010101,0.0010101,0.0010101
69,30956.2,1.39971,4.09421,1.09726,0.59934,0.50161,0.51146,0.29591,1.37493,4.10735,1.08121,0.0009804,0.0009804,0.0009804
70,31404.8,1.39958,4.07411,1.09612,0.60483,0.4992,0.50942,0.29464,1.37705,4.10142,1.08126,0.0009507,0.0009507,0.0009507
71,31852.8,1.40046,4.08692,1.09572,0.59517,0.50519,0.51082,0.2959,1.36827,4.09865,1.07862,0.000921,0.000921,0.000921
72,32301.4,1.39535,4.06636,1.09296,0.59957,0.50206,0.51256,0.29673,1.37565,4.09855,1.07969,0.0008913,0.0008913,0.0008913
73,32751.7,1.38828,4.04175,1.09189,0.60975,0.50324,0.51248,0.29776,1.37234,4.09525,1.07802,0.0008616,0.0008616,0.0008616
74,33200.3,1.39608,4.05063,1.09444,0.60168,0.50887,0.51277,0.29734,1.36749,4.08377,1.0762,0.0008319,0.0008319,0.0008319
75,33647.2,1.38917,4.02722,1.09153,0.59912,0.50317,0.51153,0.29581,1.37013,4.08356,1.07795,0.0008022,0.0008022,0.0008022
76,34095.3,1.38718,4.00737,1.09198,0.60006,0.4997,0.51167,0.29608,1.36887,4.09005,1.077,0.0007725,0.0007725,0.0007725
77,34544.2,1.38589,4.00581,1.08949,0.60008,0.50771,0.51468,0.29815,1.36903,4.08469,1.07665,0.0007428,0.0007428,0.0007428
78,34993.3,1.38746,3.98879,1.08987,0.59635,0.51087,0.51413,0.29834,1.36573,4.08203,1.07538,0.0007131,0.0007131,0.0007131
79,35440.2,1.38102,3.94497,1.0868,0.60002,0.50794,0.51195,0.29836,1.36294,4.08154,1.07553,0.0006834,0.0006834,0.0006834
80,35891,1.37972,3.96264,1.08781,0.59662,0.50848,0.51261,0.29783,1.36568,4.07928,1.07609,0.0006537,0.0006537,0.0006537
81,36344.5,1.37613,3.92873,1.08566,0.59595,0.51011,0.51325,0.29807,1.3646,4.0775,1.07556,0.000624,0.000624,0.000624
82,36802.6,1.37577,3.92002,1.08426,0.5999,0.50748,0.5152,0.29833,1.3638,4.07244,1.07526,0.0005943,0.0005943,0.0005943
83,37262.5,1.37634,3.92481,1.08498,0.59937,0.50909,0.51474,0.29745,1.36709,4.07257,1.07587,0.0005646,0.0005646,0.0005646
