epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.11,2.46551,10.6553,1.77511,0.22145,0.19845,0.14178,0.06131,1.95477,7.70529,1.45275,0.000999382,0.000999382,0.0676867
2,1155.44,1.96757,7.94989,1.43624,0.33596,0.27479,0.2228,0.10502,1.81428,6.57885,1.33528,0.00197959,0.00197959,0.0353335
3,1727.1,1.85652,7.27971,1.3653,0.34314,0.28987,0.24568,0.11418,1.8237,6.28951,1.32104,0.00293999,0.00293999,0.0029606
4,2290.09,1.80038,6.82494,1.33122,0.4005,0.33317,0.2849,0.1398,1.73874,5.8666,1.29742,0.0029109,0.0029109,0.0029109
5,2857.65,1.74992,6.53769,1.30218,0.42843,0.36067,0.32382,0.16069,1.72825,5.75108,1.26214,0.0028812,0.0028812,0.0028812
6,3434.8,1.72288,6.28965,1.28678,0.43211,0.37494,0.34132,0.17584,1.64403,5.50482,1.23757,0.0028515,0.0028515,0.0028515
7,4029.86,1.69395,6.09719,1.269,0.45067,0.38297,0.35088,0.17733,1.6666,5.47559,1.22703,0.0028218,0.0028218,0.0028218
8,4629.02,1.66614,5.96252,1.25356,0.44563,0.40065,0.3639,0.1866,1.62619,5.36755,1.21419,0.0027921,0.0027921,0.0027921
9,5215.25,1.64866,5.8158,1.24235,0.48876,0.38314,0.36049,0.18624,1.63261,5.32499,1.21457,0.0027624,0.0027624,0.0027624
10,5799.95,1.64012,5.74396,1.23462,0.46305,0.40767,0.3796,0.19935,1.60591,5.20578,1.19392,0.0027327,0.0027327,0.0027327
11,6375.81,1.61724,5.57692,1.22283,0.49591,0.39636,0.3841,0.19249,1.71165,5.2729,1.22627,0.002703,0.002703,0.002703
12,6982.33,1.60352,5.51884,1.21563,0.52479,0.42204,0.40884,0.21332,1.60081,4.9592,1.18467,0.0026733,0.0026733,0.0026733
13,7570.64,1.58963,5.45855,1.20976,0.51959,0.41695,0.40206,0.20891,1.62351,5.00068,1.19305,0.0026436,0.0026436,0.0026436
14,8136.15,1.58914,5.41465,1.2076,0.5186,0.42425,0.41578,0.22104,1.57698,4.83427,1.1784,0.0026139,0.0026139,0.0026139
15,8752.36,1.58504,5.33395,1.19949,0.52553,0.43083,0.42757,0.22637,1.57702,4.84706,1.17624,0.0025842,0.0025842,0.0025842
