epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.095,2.47874,10.8055,1.76616,0.21879,0.19663,0.1368,0.05931,2.05021,7.80626,1.47408,0.000999382,0.000999382,0.0676867
2,1022.56,1.97506,8.07766,1.42528,0.30663,0.25636,0.20796,0.09404,1.90472,6.84165,1.38377,0.00197959,0.00197959,0.0353335
3,1518.47,1.86323,7.3549,1.35818,0.34973,0.3042,0.25474,0.12132,1.79053,6.26514,1.30713,0.00293999,0.00293999,0.0029606
4,2013.61,1.80736,6.91549,1.32562,0.39484,0.32993,0.28951,0.13737,1.78538,6.05293,1.29566,0.0029109,0.0029109,0.0029109
5,2506.39,1.76231,6.59779,1.30241,0.42413,0.35068,0.31015,0.14884,1.74671,5.76968,1.26852,0.0028812,0.0028812,0.0028812
6,3002.4,1.7229,6.37215,1.28093,0.4123,0.36255,0.31937,0.15882,1.70629,5.69549,1.24201,0.0028515,0.0028515,0.0028515
7,3496.86,1.69407,6.10227,1.26269,0.45303,0.3685,0.34109,0.17095,1.66839,5.49866,1.22478,0.0028218,0.0028218,0.0028218
8,3990.37,1.66947,6.00161,1.24875,0.44416,0.38939,0.35366,0.18399,1.61698,5.32954,1.20039,0.0027921,0.0027921,0.0027921
9,4486.35,1.65284,5.85613,1.23804,0.46532,0.38964,0.36416,0.1883,1.62179,5.29213,1.19865,0.0027624,0.0027624,0.0027624
10,4978.78,1.64651,5.78225,1.23147,0.45592,0.40034,0.36604,0.18954,1.62693,5.30482,1.19991,0.0027327,0.0027327,0.0027327
11,5470.2,1.61824,5.61143,1.2189,0.49013,0.40702,0.38682,0.19806,1.65688,5.19849,1.20526,0.002703,0.002703,0.002703
12,5961.21,1.61248,5.58701,1.2162,0.49085,0.43023,0.39298,0.20258,1.62708,5.08561,1.1939,0.0026733,0.0026733,0.0026733
13,6450.72,1.59675,5.52657,1.21031,0.50258,0.41707,0.39223,0.19952,1.65019,5.08318,1.20485,0.0026436,0.0026436,0.0026436
14,6939.99,1.59124,5.4489,1.20359,0.4982,0.42345,0.40269,0.21279,1.57727,4.9343,1.1762,0.0026139,0.0026139,0.0026139
15,7429.65,1.58782,5.37528,1.19738,0.51767,0.43364,0.41874,0.22082,1.58731,4.85809,1.1742,0.0025842,0.0025842,0.0025842
16,7917.52,1.57727,5.31583,1.19269,0.49713,0.43867,0.41732,0.21708,1.5925,4.87299,1.16844,0.0025545,0.0025545,0.0025545
17,8405.21,1.5758,5.30506,1.19254,0.50993,0.43981,0.41738,0.22182,1.5565,4.84669,1.1668,0.0025248,0.0025248,0.0025248
18,8893.66,1.56418,5.22567,1.18628,0.53336,0.42852,0.41694,0.22155,1.56449,4.845,1.17062,0.0024951,0.0024951,0.0024951
19,9380.44,1.55494,5.1802,1.18147,0.51285,0.43613,0.4209,0.22316,1.56387,4.81876,1.16656,0.0024654,0.0024654,0.0024654
20,9869.47,1.54833,5.1268,1.17863,0.52547,0.45328,0.43446,0.22775,1.58356,4.72907,1.16628,0.0024357,0.0024357,0.0024357
21,10357.5,1.54794,5.11825,1.17304,0.52957,0.46033,0.4438,0.23823,1.52856,4.6353,1.14807,0.002406,0.002406,0.002406
22,10847.7,1.53898,5.06717,1.17226,0.53423,0.4491,0.43764,0.23388,1.53746,4.67627,1.15388,0.0023763,0.0023763,0.0023763
23,11337.1,1.52441,4.96693,1.16299,0.53968,0.45503,0.45006,0.24334,1.51803,4.63274,1.14116,0.0023466,0.0023466,0.0023466
24,11826.6,1.51989,4.97005,1.16209,0.55389,0.45561,0.45162,0.24417,1.50826,4.60411,1.13476,0.0023169,0.0023169,0.0023169
25,12315.5,1.51956,4.96042,1.16193,0.5347,0.4595,0.45013,0.24704,1.49128,4.58459,1.13531,0.0022872,0.0022872,0.0022872
26,12803.4,1.52183,4.93988,1.1588,0.55072,0.45949,0.45657,0.24847,1.50097,4.57462,1.1341,0.0022575,0.0022575,0.0022575
27,13289.1,1.50504,4.86787,1.15526,0.54601,0.4622,0.45187,0.24661,1.48496,4.58181,1.12977,0.0022278,0.0022278,0.0022278
28,13775.3,1.50127,4.84128,1.15427,0.54598,0.46935,0.46001,0.25298,1.47874,4.51967,1.12882,0.0021981,0.0021981,0.0021981
29,14261.9,1.5052,4.84049,1.15239,0.55356,0.46737,0.46231,0.25481,1.48087,4.49959,1.12725,0.0021684,0.0021684,0.0021684
30,14750.9,1.49911,4.80133,1.14792,0.5432,0.47168,0.46245,0.25832,1.43949,4.48917,1.11686,0.0021387,0.0021387,0.0021387
31,15237.3,1.48829,4.76616,1.14589,0.57272,0.46998,0.47189,0.26481,1.43359,4.42268,1.11224,0.002109,0.002109,0.002109
32,15723.7,1.48628,4.76367,1.14581,0.55758,0.46609,0.46517,0.2617,1.44495,4.43771,1.11682,0.0020793,0.0020793,0.0020793
33,16209.6,1.47583,4.67796,1.14053,0.56684,0.47477,0.47188,0.26492,1.43604,4.39144,1.11331,0.0020496,0.0020496,0.0020496
34,16694.9,1.48084,4.68517,1.14266,0.55943,0.4749,0.47576,0.26908,1.41961,4.38079,1.10842,0.0020199,0.0020199,0.0020199
35,17181.8,1.47298,4.65809,1.13834,0.564,0.47687,0.47499,0.26682,1.44215,4.40191,1.11416,0.0019902,0.0019902,0.0019902
36,17671,1.47764,4.6744,1.13869,0.57113,0.47996,0.47861,0.27063,1.42418,4.37689,1.10968,0.0019605,0.0019605,0.0019605
37,18158.5,1.47539,4.6432,1.13926,0.5565,0.47867,0.47008,0.26457,1.43741,4.38932,1.11042,0.0019308,0.0019308,0.0019308
38,18645,1.46981,4.62483,1.13453,0.5785,0.48495,0.48289,0.27191,1.43087,4.33977,1.10681,0.0019011,0.0019011,0.0019011
39,19131.1,1.46947,4.58499,1.13318,0.58575,0.47533,0.48446,0.27395,1.41522,4.3142,1.10312,0.0018714,0.0018714,0.0018714
40,19616.3,1.46138,4.56792,1.12961,0.58002,0.47982,0.48376,0.2704,1.43715,4.34098,1.10582,0.0018417,0.0018417,0.0018417
41,20103.2,1.46213,4.51153,1.12945,0.58005,0.48563,0.48215,0.27541,1.40756,4.30363,1.09984,0.001812,0.001812,0.001812
42,20589.2,1.45189,4.51123,1.1283,0.58669,0.48246,0.48751,0.27713,1.41392,4.27802,1.09959,0.0017823,0.0017823,0.0017823
43,21073.7,1.46148,4.52371,1.13032,0.58037,0.48812,0.4885,0.27904,1.40623,4.27091,1.09793,0.0017526,0.0017526,0.0017526
44,21560.6,1.44936,4.48517,1.1257,0.58874,0.48493,0.49165,0.27943,1.41513,4.25616,1.09807,0.0017229,0.0017229,0.0017229
45,22046.1,1.44899,4.47563,1.12454,0.57269,0.49217,0.48755,0.27713,1.41363,4.25986,1.09657,0.0016932,0.0016932,0.0016932
46,22532.3,1.45132,4.46227,1.12504,0.58269,0.48925,0.48931,0.28084,1.40171,4.23778,1.09667,0.0016635,0.0016635,0.0016635
47,23017.7,1.44999,4.45985,1.12418,0.58463,0.49282,0.49185,0.28008,1.40236,4.2298,1.09424,0.0016338,0.0016338,0.0016338
48,23502.9,1.44319,4.4208,1.12121,0.58345,0.49729,0.49393,0.27944,1.40931,4.23539,1.09528,0.0016041,0.0016041,0.0016041
49,23987.7,1.43823,4.39653,1.11695,0.5879,0.49317,0.49581,0.28504,1.39252,4.20665,1.09104,0.0015744,0.0015744,0.0015744
50,24473.3,1.43511,4.35991,1.11709,0.58197,0.49622,0.49667,0.28618,1.39388,4.19353,1.09244,0.0015447,0.0015447,0.0015447
51,24957.9,1.43349,4.36611,1.11379,0.5881,0.48826,0.4966,0.28316,1.39674,4.19237,1.09283,0.001515,0.001515,0.001515
52,25443.9,1.43712,4.35107,1.11874,0.60164,0.49128,0.50147,0.28794,1.39012,4.17468,1.08999,0.0014853,0.0014853,0.0014853
53,25928.7,1.43127,4.34513,1.11436,0.59747,0.49121,0.49932,0.28562,1.39557,4.18524,1.08951,0.0014556,0.0014556,0.0014556
54,26413.6,1.42622,4.30702,1.11108,0.5896,0.49924,0.50218,0.28814,1.39231,4.17831,1.08838,0.0014259,0.0014259,0.0014259
55,26898.5,1.42361,4.29303,1.10961,0.5911,0.49787,0.50216,0.28811,1.38981,4.16705,1.08765,0.0013962,0.0013962,0.0013962
56,27383.7,1.42828,4.30258,1.11155,0.59486,0.49723,0.50466,0.28893,1.39001,4.17431,1.0877,0.0013665,0.0013665,0.0013665
57,27865.9,1.42255,4.28039,1.10792,0.59567,0.49007,0.50495,0.29117,1.37997,4.14151,1.08441,0.0013368,0.0013368,0.0013368
58,28348.8,1.42262,4.26875,1.11061,0.5981,0.49438,0.50736,0.29212,1.381,4.1311,1.08624,0.0013071,0.0013071,0.0013071
59,28830.3,1.41951,4.23292,1.10974,0.5905,0.50593,0.5084,0.29367,1.38061,4.13306,1.08683,0.0012774,0.0012774,0.0012774
60,29312,1.41714,4.23219,1.10686,0.60106,0.49701,0.50661,0.29108,1.38591,4.13439,1.08506,0.0012477,0.0012477,0.0012477
61,29794.3,1.40628,4.16716,1.10169,0.58664,0.50583,0.50762,0.2935,1.37926,4.13424,1.08301,0.001218,0.001218,0.001218
62,30275.7,1.4126,4.20293,1.10593,0.59226,0.50146,0.50633,0.2921,1.38191,4.13176,1.08395,0.0011883,0.0011883,0.0011883
63,30757.3,1.40844,4.17695,1.10275,0.59718,0.50325,0.50947,0.29344,1.38428,4.11836,1.08402,0.0011586,0.0011586,0.0011586
64,31239.6,1.40879,4.1612,1.10139,0.60651,0.50129,0.50736,0.29168,1.38475,4.12194,1.08342,0.0011289,0.0011289,0.0011289
65,31720.2,1.40688,4.13027,1.09856,0.59363,0.50861,0.51023,0.29516,1.37796,4.10181,1.08018,0.0010992,0.0010992,0.0010992
66,32200.8,1.40875,4.13876,1.10087,0.60175,0.50554,0.51154,0.29511,1.37834,4.10006,1.08158,0.0010695,0.0010695,0.0010695
67,32680.2,1.40277,4.1086,1.09835,0.60173,0.50576,0.51257,0.2963,1.37292,4.1069,1.07962,0.0010398,0.0010398,0.0010398
68,33161.1,1.39827,4.10718,1.09751,0.6053,0.50386,0.51237,0.29624,1.37761,4.10343,1.08082,0.0010101,0.0010101,0.0010101
69,33641.4,1.40356,4.10512,1.09861,0.60919,0.50198,0.51176,0.29658,1.37165,4.10506,1.0786,0.0009804,0.0009804,0.0009804
70,34123.1,1.40181,4.09292,1.09721,0.60072,0.50459,0.51012,0.29588,1.37445,4.10276,1.07944,0.0009507,0.0009507,0.0009507
71,34603.2,1.40288,4.08025,1.09722,0.60486,0.50162,0.50927,0.29493,1.37265,4.09699,1.07958,0.000921,0.000921,0.000921
72,35082.3,1.39593,4.06074,1.09421,0.59999,0.50963,0.51142,0.29605,1.37166,4.09029,1.08024,0.0008913,0.0008913,0.0008913
73,35561.2,1.39232,4.03959,1.09378,0.60694,0.50576,0.51203,0.29712,1.37258,4.08978,1.07953,0.0008616,0.0008616,0.0008616
74,36041.1,1.39612,4.0356,1.09442,0.60855,0.50173,0.51149,0.29671,1.37364,4.08501,1.07895,0.0008319,0.0008319,0.0008319
75,36519.6,1.38995,4.0203,1.09163,0.60902,0.50173,0.51077,0.29516,1.37179,4.08745,1.07859,0.0008022,0.0008022,0.0008022
76,36998.8,1.39291,4.01434,1.09374,0.59906,0.50898,0.51215,0.29648,1.36985,4.09226,1.0781,0.0007725,0.0007725,0.0007725
77,37478.8,1.38905,4.00863,1.09081,0.60176,0.51009,0.51304,0.29666,1.37104,4.09116,1.07819,0.0007428,0.0007428,0.0007428
78,37958.3,1.38983,3.98197,1.09063,0.60155,0.50946,0.51441,0.29758,1.37128,4.09161,1.07779,0.0007131,0.0007131,0.0007131
79,38438.7,1.38303,3.95005,1.08749,0.59563,0.51154,0.51167,0.29692,1.36789,4.08852,1.07652,0.0006834,0.0006834,0.0006834
80,38917.9,1.37851,3.94306,1.0864,0.59542,0.51215,0.51132,0.29656,1.36889,4.07802,1.0764,0.0006537,0.0006537,0.0006537
81,39397.8,1.37474,3.91448,1.08497,0.59989,0.51139,0.51162,0.297,1.37034,4.07359,1.07621,0.000624,0.000624,0.000624
82,39876.4,1.3769,3.9074,1.08466,0.60262,0.50592,0.50991,0.29597,1.36951,4.07826,1.07597,0.0005943,0.0005943,0.0005943
83,40356,1.3781,3.92229,1.08528,0.60697,0.49959,0.51119,0.29645,1.37121,4.0787,1.07629,0.0005646,0.0005646,0.0005646
84,40834.3,1.3722,3.88728,1.08287,0.60285,0.50766,0.51438,0.29761,1.36837,4.07522,1.0754,0.0005349,0.0005349,0.0005349
85,41314.2,1.37271,3.89906,1.08426,0.60293,0.50849,0.51493,0.29762,1.37009,4.07338,1.07561,0.0005052,0.0005052,0.0005052
86,41794.5,1.37072,3.86921,1.08195,0.60396,0.50778,0.51353,0.29724,1.36818,4.07021,1.07522,0.0004755,0.0004755,0.0004755
87,42272.2,1.36555,3.8422,1.08145,0.59921,0.50825,0.51205,0.2973,1.37039,4.07737,1.07592,0.0004458,0.0004458,0.0004458
88,42749.8,1.36578,3.85797,1.08153,0.60073,0.50694,0.51172,0.297,1.37318,4.07599,1.07644,0.0004161,0.0004161,0.0004161
89,43227.9,1.36503,3.83575,1.08134,0.60734,0.5017,0.51224,0.29768,1.36962,4.07453,1.07535,0.0003864,0.0003864,0.0003864
90,43706.6,1.36421,3.82792,1.07952,0.60426,0.50422,0.5117,0.29674,1.36947,4.07577,1.0751,0.0003567,0.0003567,0.0003567
91,44172.8,1.31327,3.47039,1.05383,0.61313,0.4994,0.51083,0.29626,1.36883,4.0882,1.07477,0.000327,0.000327,0.000327
92,44637.2,1.30977,3.42507,1.05216,0.61365,0.49712,0.50944,0.29582,1.36931,4.09656,1.07516,0.0002973,0.0002973,0.0002973
93,45102.5,1.30586,3.40286,1.05221,0.61132,0.49849,0.50882,0.29499,1.36898,4.09946,1.07562,0.0002676,0.0002676,0.0002676
94,45566.9,1.30222,3.37626,1.04938,0.61371,0.49633,0.50757,0.29472,1.36808,4.10294,1.07575,0.0002379,0.0002379,0.0002379
95,46029.3,1.30155,3.36292,1.05003,0.61407,0.49479,0.50733,0.29467,1.36766,4.10389,1.07582,0.0002082,0.0002082,0.0002082
96,46491.8,1.30002,3.35803,1.04875,0.60779,0.49857,0.50656,0.29394,1.36832,4.11003,1.07631,0.0001785,0.0001785,0.0001785
97,46954.3,1.29552,3.33775,1.04779,0.608,0.49982,0.50653,0.29412,1.36853,4.11147,1.07617,0.0001488,0.0001488,0.0001488
98,47416.8,1.29649,3.32317,1.04784,0.60273,0.49992,0.50453,0.2934,1.36953,4.1131,1.07668,0.0001191,0.0001191,0.0001191
99,47823.1,1.29297,3.31341,1.04654,0.60553,0.49753,0.50494,0.29366,1.36871,4.11439,1.07638,8.94e-05,8.94e-05,8.94e-05
100,48221.8,1.2938,3.30786,1.04701,0.60212,0.49952,0.50445,0.29394,1.36815,4.11588,1.0765,5.97e-05,5.97e-05,5.97e-05
